epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1049,1.69509,4.35816,1.24415,0.46995,0.27773,0.25919,0.19647,1.31485,2.16492,1.03116,0.000360588,0.000360588,0.000360588
2,46.6364,1.4805,2.11715,1.10732,0.40731,0.3106,0.30396,0.20416,1.34065,2.99073,1.06065,0.000727303,0.000727303,0.000727303
3,70.3406,1.40233,1.81632,1.09917,0.26062,0.34746,0.27192,0.18041,1.25605,2.07639,1.04183,0.00109035,0.00109035,0.00109035
4,94.5944,1.36623,1.57054,1.05509,0.59264,0.44563,0.41962,0.26095,1.21435,1.83237,0.99635,0.0010945,0.0010945,0.0010945
5,119.141,1.3246,1.41678,1.01856,0.58164,0.52007,0.51672,0.32502,1.19222,1.49997,0.95701,0.001089,0.001089,0.001089
6,144.488,1.34076,1.42579,1.05166,0.59721,0.47314,0.57062,0.39382,1.13956,1.32971,0.95589,0.0010835,0.0010835,0.0010835
7,168.425,1.30759,1.29777,1.03085,0.5956,0.56008,0.61981,0.42324,1.15365,1.27948,0.96671,0.001078,0.001078,0.001078
8,193.053,1.25976,1.23057,1.02521,0.57062,0.61921,0.6233,0.41667,1.12441,1.04617,0.95482,0.0010725,0.0010725,0.0010725
9,218.935,1.23978,1.19631,1.01863,0.7503,0.66846,0.7125,0.46198,1.13263,1.04368,0.95872,0.001067,0.001067,0.001067
10,241.171,1.23321,1.14131,0.98815,0.65636,0.73087,0.74108,0.48721,1.06261,1.07676,0.93247,0.0010615,0.0010615,0.0010615
11,265.227,1.17216,1.02238,0.9764,0.79012,0.69101,0.77993,0.52949,1.07033,0.92422,0.91909,0.00105601,0.00105601,0.00105601
12,289.304,1.1676,1.01494,0.99597,0.64723,0.73163,0.7575,0.49765,1.10183,0.8368,0.92903,0.00105051,0.00105051,0.00105051
13,322.747,1.18627,1.0058,0.96188,0.80249,0.68349,0.79463,0.51605,1.09346,0.85555,0.93087,0.00104501,0.00104501,0.00104501
14,375.155,1.14542,0.98084,0.98397,0.83012,0.74191,0.82315,0.55586,1.00759,0.79123,0.91756,0.00103951,0.00103951,0.00103951
15,431.528,1.1284,0.934,0.97829,0.74761,0.80417,0.8187,0.55662,1.02428,0.75269,0.90641,0.00103401,0.00103401,0.00103401
16,474.84,1.09826,0.90503,0.96435,0.7666,0.57425,0.74388,0.47691,1.05007,0.95827,0.90174,0.00102851,0.00102851,0.00102851
17,519.02,1.13464,0.9393,0.96878,0.77391,0.77764,0.8564,0.57925,1.02636,0.77819,0.92255,0.00102301,0.00102301,0.00102301
18,560.696,1.14044,0.92035,0.95673,0.78088,0.79974,0.86667,0.57423,1.02593,0.79596,0.92258,0.00101751,0.00101751,0.00101751
19,609.462,1.11541,0.85374,0.96654,0.7991,0.72197,0.82128,0.51997,1.05674,0.77209,0.90367,0.00101201,0.00101201,0.00101201
20,652.125,1.08364,0.85309,0.96466,0.86314,0.83326,0.8709,0.60723,0.96478,0.69184,0.88256,0.00100651,0.00100651,0.00100651
